Universités/Instituts Supérieurs,Catégories,Adresses,Départments,Villes
Université Adventiste d’Haïti (UNAH),Privé,"Route de la Mairie de Carrefour, Diquini 63, Carrefour",Ouest,Carrefour
Université Américaine des Cayes (UAC) ci-devant American University of the Caribean.,Privé,"Route Nationale 2, Arrondissement des Cayes",Sud,Cayes
Université Américaine des Sciences Modernes d’Haïti (UNASMOH),Privé,"Delmas 65, Rue Neptune, Port-au-Prince",Ouest,Delmas
Université Autonome de Port-au-Prince (UNAP),Privé,"Santo 25, Rue Robert #05, Croix-des-Bouquets, Haiti",Ouest,Croix-des-Bouquets
Université Autonome Charlemagne Péralte (UNACP),Privé,"10 Impasse Ambroise, Port-au-Prince",Ouest,Port-au-Prince
Université Bellevue (UNIBEL),Privé,"Delmas 31, Rue Valcin #6",Ouest,Delmas
Université Caraïbe (UC),Privé,Delmas 29 # 7,Ouest,Delmas
Université Chrétienne du Nord d’Haïti (UCNH),Privé,Haut Limbé,Nord,Limbé
Université Chrétienne de la Communauté de Caïman (UCCC),Privé,"Antoine Johnny, Pignon, Haiti",Nord,Pignon
"Université de la Concorde / Concord University, ci-devant CCHEC-CUMES",Privé,"Ave H.Christophe, Port-au-Prince",Ouest,Port-au-Prince
Université de la Fondation Aristide (UFA),Privé,"16 Rue Fleurent 2, Tabarre",Ouest,Tabarre
Université de Port-au-Prince (UP),Privé,"# 19,20 Rue Rivière P.au.P",Ouest,Port-au-Prince
Université des Sciences Administratives et de la Santé (UNISAS),Privé,"19, Rue Hérard, Delmas 33",Ouest,Delmas
Université d’Etudes Internationales (UDEI),Privé,"5, Village Zao, Maïs Gaté 13, bloc Gérald Bataille",Ouest,Delmas
Université Evangélique d’Haïti (UNEH),Privé,"30, rue carlstroem ",Ouest,Port-au-Prince
Université Episcopale d’Haïti (UNEPH),Privé,"14,Rue Légitime Champs-de-Mars Port-au-Prince, Haïti",Ouest,Port-au-Prince
Université INUKA,Privé,"Boulevard du 15 Octobre, Port-au-Prince",Ouest,Tabarre
Université GOC,Privé,"Avenue M.L.K., Port-au-Prince",Ouest,Port-au-Prince
Université Intégrée de la Caraïbe (UNICA),Privé,"6, Angle Rues Pierre Sully et Germain, Delmas 19",Ouest,Delmas
Université Jean-Price Mars (UJPM),Privé,"143, Rue Toussaint Louverture",Centre,Hinche
Université Lumière (UL),Privé,"29, Rue O",Ouest,Port-au-prince
Universite Libre d’Haïti (ULH),Privé,"40 Rue Lamarre, Port-au-Prince",Ouest,Port-au-Prince
Université Métropole d’Haïti (UMH),Privé,"Fond des Nègres, Route Nationale #2, Sud",Sud,Fond des Nègres
Université Notre Dame d’Haïti (UND’H),Privé,"6, rue sapotille, pacot, Port-au-prince, Haïti",Ouest,Port-au-prince
Université Polyvalente d’Haïti (UPH),Privé,"Lalue, Rue Robin, Port-au-Prince",Ouest,Port-au-Prince
Université Providence d’Haïti (UPROH),Privé,"Boulvard de l'Université Balan, Ganthier",Ouest,Ganthier
Université Quisqueya (UNIQ),Privé,"218 Avenue Jean Paul II, Port-au-Prince",Ouest,Port-au-Prince
Université Queensland (UQ),Privé,"Delmas 29 prolongé, Université Queensland ",Ouest,Delmas
Université Roi Henri Christophe (URHC),Privé,"45,rue 18 H & I Cap-Haïtien",Nord,Cap-Haïtien
Université Ruben Leconte (URL),Privé,"Delmas 53 #10, 9 Rue Tertulien Guilbaud, Bourdon. Port-au-Prince, HAITI.",Ouest,Delmas
Université Saint-Gérard (USG),Privé,"70, Ruelle Saint Gerard Carrefour-Feuilles, Port-au-Prince, Haiti",Ouest,Carrefour-feuilles
Université Joseph Lafortune (UJLF),Privé,"47, Rue Herard Prolongée, Delmas 33 à l'intérieur",Ouest,Delmas
Université La Pléiade d’Haïti (UPLEH),Privé,"172, Avenue Christophe, Port-au-Prince",Ouest,Port-au-Prince
Université Royale d’Haïti (URH),Privé,"#24, rue Debussy, turgeau",Ouest,Port-au-Prince
Université Mont Everest d’Haïti (UNEDH),Privé,"Camille Leon Bois-Verna #12, Port-au-Prince, Haiti",Ouest,Port-au-Prince
Université Nouvelle Grande-Anse (UNOGA),Privé,"5 Carretera Dekade, Jeremie, Route Jeremie",Grande-Anse,Jeremie
Université Franco-Haïtienne du Cap-Haïtien (UFCH),Privé,"391, Carrefour lachaux, Petite Anse",Nord,Petit Anse
Université Atlantique d’Haïti (UNIVERSAH),Privé,"31, rue 18, Cap-Haitien",Nord,Cap-Haitien
Université Chrétienne Renaissance du Centre d’Haïti (UCRECH),Privé,"60, Fort Anglais, Mirbalais",Centre,Mirbalais
Université Moderne d’Haïti (UMDH),Privé,"#25, 1ère Avenue du Travail",Ouest,Port-au-prince
Université Nissage Saget (UNISSA),Privé,"39,Route de flerenceau.Saint-Marc,Artibonite,Haiti",Artibonite,Saint-Marc
Université La Ferrière Joseph,Privé,"18,Rue 15 Q, Cap-Haitien, Haiti",Nord,Cap-Haitin
Université la Renaissance d’Haïti (URH),Privé,"170, Ave Jean Paul II, Turgeau, Port-au- Prince",Ouest,Port-au-prince
Faculté Craan d’Haïti (FCA),Privé,"20, Rue Duncombe, Bois-Verna",Ouest,Port-au-prince
Faculté des Sciences de l’Education Regina Assumpta (FERA),Privé, rue 20 A,Nord,Cap-Haitien
 Institut de Formation des Cadres (IFC),Privé,"7-9, Avenue N, Port-au-Prince",Ouest,Port-au-Prince
"Institut des Sciences, des Technologies et des Etudes Avancées d’Haïti (ISTEAH)",Privé,"10 rue Mercier-Laham, Delmas 60",Ouest,Delmas
 Institut de Formation des Cadres (IFC),Privé,"68, BLVD Jean Jacques Dessalines, Mirebalais",Centre,Mirebalais
Institut de Formation Juridique et des Sciences Connexes des Cayes (INFOJUSC),Privé,Cayes,Sud,Port-au-Prince
Institut des Hautes Etudes Commerciales et Economiques (IHECE),Privé,"275, Ave John Brown(Lalue), Port-au-Prince",Ouest,Port-au-Prince
"Institut de Management Territorial, d’Etudes et de Recherche Politiques (IMTERP)",Privé,"Avenue Lamartiniere, Port-au-Prince",Ouest,Port-au-Prince
Institut Haïtien des Sciences Administratives (IHSA),Privé,"Rue 6, Port-au-Prince",Ouest,Port-au-Prince
Institut Haïtien de Formation en Sciences de l’Education (IHFOSED),Privé,"#22 Destour Laborde, Les Gonaïves",Artibonite,Gonaïves
Institut Supérieur d’Administration et de Gestion (ISAG),Privé,"170, Ave. Jean-Paul II, Turgeau",Ouest,Port-au-Prince
Institut Supérieur de Recherche et de Développement Technologique (ISRDT),Privé,"23, bis Ave. Martin Luther King Nazon, Port-au-Prince",Ouest,Port-au-Prince
Institut Supérieur des Sciences Economiques Politiques et Juridiques (ISSEPJ),Privé,"180, Lalue, Port-au-Prince",Ouest,Port-au-Prince
Institut Supérieur Technique d’Haïti (ISTH),Privé,"24, rue Chili, Port-au-Prince",Ouest,Port-au-Prince
Institut Supérieur et Universitaire Professionnalisé (ISUP-EMATECH),Privé,Port-Margot,Nord,Port-Margot
Institut Universitaire des Sciences de l’Education (IUSE/CREFI),Privé,"30, rue Capois, Port-au-prince",Ouest,Port-au-prince
Institut Universitaire des Sciences Juridiques et de Développement Régional (INUJED),Privé,443 route de Bel-Air Cap-Haïtien,Nord,Cap-Haïtien
Institut Universitaire de Formations des Cadres (INUFOCAD),Privé,"Delmas. 9, Maïs Gaté 8, Linz Harry Village, Ave. Maïs Gaté",Ouest,Delmas
Université de Technologie d’Haïti (UNITECH),Privé,"53, Angle Rue 4 et Avenue N.",Ouest,Port-au-prince
Institut Louis Pasteur (ILP),Privé,"22 Ave Magloire Ambroise, Port-au-Prince",Ouest,Port-au-prince
Institut Panaméricaine des Hautes Etudes en Gouvernance (HEG),Privé,"5, José-Marti",Ouest,Petion-Ville
Institut de Philosophie Saint François de Salles (IPSES),Privé,"Fleuriot, Tabarre 38, Impasse Audain, Port-au-Prince",Ouest,Tabarre
Institut Universitaire de l’Ouest (IUO),Privé,"6, Rue Duncombe, Bois-Verna",Ouest,Port-au-Prince
Ecole de Droit et de Notariat de Saint-Marc,Privé,Saint-Marc,Artibonite,Saint-Marc
Ecole Supérieure Catholique de Droit de Jérémie (ESCDROJ),Privé,"38 rue Brouette, Jeremie",Grande-Anse,Jeremie
Ecole Supérieure Isaac Newton (ESIN),Privé,Port-de-paix,Nord-Ouest,Port-au-Prince
Ecole Supérieure d’Infotronique d’Haïti (ESIH),Privé,"29, 2ème ruelle Nazon, Bourdon",Ouest,Port-au-Prince
Ecole Supérieure de Chimie (CHEMTEK),Privé,"#2, rue Assad, Turgeau",Ouest,Port-au-Prince
Centre d’Etudes Diplomatiques et Internationales (CEDI),Privé,"7, Rue Théodule, Bourdon",Ouest,Port-au-Prince
Centre de Formation et de Développement Economique (CFDE),Privé,Angle Delmas 75 et Impasse Hérard # 3,Ouest,Delmas
Centre de Management et de Productivité (CMP),Privé,"Delmas 30, Port-au-Prince",Ouest,Delmas
Centre de Recherche en Finance et en Management (CREFIMA),Privé,"26, 3e Ave. du Travail",Ouest,Port-au-Prince
Centre d’Informatique de Statistique et d’Administration (CISA),Privé,"316, Route de Bourdon, Port-au-Prince",Ouest,Port-au-Prince
Centre du Savoir Universel (CSU),Privé,"12, Impasse Lavisse, Avenue Christophe",Ouest,Port-au-Prince
Centre Universitaire Moderne d’Haïti (CUMOH),Privé,"4, Rue Bonamy, Delmas 33",Ouest,Port-au-prince
Centre Universitaire Maurice Laroche (CUML),Privé,"16 Avenue Henri Cristophe, Port-au-Prince",Ouest,Port-au-Prince
Centre Universitaire Polytechnique d’Haïti (CUPH),Privé,"Santo 20 #10, Croix-des-bouquets",Ouest,Croix-des-bouquets
Collège Universitaire de Christianville (CUC),Privé,"La Colline, Gressier, Ouest",Ouest,Gressier
Académie des Sciences Pures et Appliquées (ASPA),Privé,"154, Lalue ",Ouest,Port-au-Prince
Azure University (AU),Privé,"Delmas 33, parc Midore",Ouest,Delmas
Académie de Formation et de Perfectionnement des Cadres (AFPEC),Privé,"12, Rue Pacot, (entrée Rue 4)",Ouest,Port-au-Prince
Burnett International University (BIU),Privé,"13 Blvd 15 Octobre, en Face Tabarre 65",Ouest,Tabarre
Grand Séminaire Notre Dame (GSND),Privé,"110, rue Lafleur Ducheine ",Ouest,Port-au-Prince
Haïtian Education and Leadership Program (HELP),Privé,"# 4, Rue 5, Pacot, Port-au-Prince",Ouest,Port-au-Prince
Séminaire de Théologie Évangélique de Port-au-Prince (STEP),Privé,"261 Route des Dalles,Port-au-Prince",Ouest,Port-au-Prince
Spring Hill University (SHU),Privé,"46, RUE BERGEAU, DELMAS 18 ",Ouest,Delmas
Université Publique du Nord au Cap-Haïtien (UPNCH),Public,"Balan Habitation Baudin, Cap-Haïtien",Nord,Cap-Haïtien
Université Publique de l’Artibonite aux Gonaïves (UPAG),Public,"45 rue Chrysostome Humbert, Gonaïves",Artibonite,Gonaïves
Université Publique du Sud aux Cayes (UPSAC),Public,"Campus de Laborde, Les Cayes BP 131, Les Cayes",Sud,Cayes
Université Publique du Sud-Est à Jacmel (UPSEJ),Public,"Route de Meyer, Jacmel, Haïti",Sud-Est,Jacmel
Université Publique du Nord-Ouest à Port-de-Paix (UPNOPP),Public,"121, rue Benito Sylvain, Port-de-Paix",Nord-Ouest,Port-de-Paix
Université Publique du Centre à Hinche et à Mirebalais (UPCHM),Public,Mirebalais,Centre,Mirebalais
Université Publique des Nippes (UPNIP),Public,"Numéro 20 route nationale, #2, Berquin, Miragoâne",Nippes,Miragoâne
 Université Publique du Nord-Est (UPNE),Public,Fort-Liberté,Nord-Est,Fort-Liberté
Université Publique de la Grand-Anse (UPGA),Public,"Château, Jérémie, Grand'Anse",Grande-Anse,Jeremie
Université Publique du Bas Artibonite à Saint-Marc,Public,Saint-marc,Artibonite,Saint-marc
Centre de Techniques de Planification et d’Economie Appliquée (CTPEA),Public,"19, Boulevard Harry Truman, Port-au-Prince",Ouest,Port-au-Prince
Centre de Formation des Enseignants du Fondamental (CFEF),Public,"Martissant 1, à côté de l’Église Sainte Bernadette, Port-au-Prince",Ouest,Port-au-Prince
Ecole Nationale Supérieure de Technologie (ENST),Public,"81bis, Avenue Lamartinière Bois Verna, Port-au-Prince",Ouest,Port-au-Prince
Ecole Nationale des Arts (ENARTS),Public,Rue Mgr Guilloux Port-au-Prince ,Ouest,Port-au-Prince
Faculté de Droit et des Sciences Economiques (FDSE),Public,"103, Rue Oswald Durand, Port-au-Prince, Haïti",Ouest,Port-au-Prince
Faculté d’Agronomie et de Médecine Vétérinaire (FAMV),Public,"Route Nationale numéro 1, Damien, Port-au-Prince",Ouest,Croix-des-missions
Faculté des Sciences (FDS),Public,"270, Angle des Rues Monseigneur Guilloux et Joseph Janvier, Port-au-Prince",Ouest,Port-au-Prince
Faculté Linguistique Appliquée (FLA),Public,"38, Rue Dufort, Port-au-Prince",Ouest,Port-au-Prince
Faculté d’Ethnologie (FE),Public,"10, Rue Magloire Ambroise, Port Prince",Ouest,Port-au-Prince
Faculté d’Odontologie (FO),Public,"Rue Oswald Durand # 87, Port-au-Prince ",Ouest,Port-au-Prince
Faculté de Médecine et de Pharmacie (FMP),Public,"Rue Oswald Durand # 89, Port-au-Prince ",Ouest,Port-au-Prince
Institut National d’Administration de Gestion et des Hautes Etudes Internationales (INAGHEI),Public,"135 Ave Christophe, Port-au-Prince",Ouest,Port-au-Prince
Faculté des Sciences Humaines (FASCH),Public,"Impasse le Hasard, Avenue Christophe, Port-au-Prince",Ouest,Port-au-Prince
Ecole Normale Supérieure (ENS),Public," Rue Monseigneur Guilloux, Port-au-Prince, Bas Peu de Chose",Ouest,Port-au-prince
"Ecole de Droit, des Sciences Economiques et de Gestion du Cap-Haïtien",Public,"Rue 22, 23 JK, Cap-Haïtien",Nord,Cap-Haïtien
Ecole de Droit et des Sciences Economiques des Cayes,Public,"171, Avenue des Quatre Chemins, Cayes",Sud,Cayes
Ecole de Droit de Jacmel,Public,"Route du Cimetière, habitation Wolf",Sud-Est,Jacmel
Ecole de Droit de Hinche,Public,"5, Rue Simon Sylvestre, Villa Créole, Hinche",Centre,Hinche
Ecole de Droit de Fort-liberté,Public,"Rue du Quai, Fort-Liberté",Nord-Est,Fort-Liberté
Ecole de Droit et des Sciences Economiques de Port-de-Paix,Public,"33, rue Bénito Sylvain, Port-de-Paix",Nord-Ouest,Port-de-Paix
Ecole Nationale des Infirmières de Port-au-Prince (ENIP),Public,89 Rue Oswald Durant  Port-au-Prince Haïti,Ouest,Port-au-prince
Ecole Nationale des Infirmières des Cayes,Public,"Rue Monseigneur Morice, Cayes, Haïti",Sud,Cayes
Ecole Nationale des Infirmières de Jérémie,Public,"38, Rue Brouette en face de l’évêché de Jérémie, HT 7110, Jérémie Haïti.",Grande-Anse,Jeremie
Institut d’Études et de Recherches Africaines/Institut Supérieur d’Études et de Recherches en Sciences Sociales (IERAH/ISERSS),Public,"92, La Fleur du Chêne et angle Ave Christophe",Ouest,Port-au-prince
